model_name,trial,mean_test_AS,std_test_AS,mean_train_AS,std_train_AS,mean_test_PS,std_test_PS,mean_train_PS,std_train_PS,mean_test_F1S,std_test_F1S,mean_train_F1S,std_train_F1S,mean_test_NPV,std_test_NPV,mean_train_NPV,std_train_NPV
"BaseGA-{'epoch': 10, 'pop_size': 20}",0,0.9222222222222222,0.02484519974999765,0.9388888888888888,0.0061418977599174245,0.8917330354830355,0.041735805182452346,0.9094102352568799,0.009049207621657097,0.8817798762710595,0.03798203412785757,0.9073590596425372,0.0096153939847681,0.9447495963228228,0.019028745130408226,0.955387458316487,0.004505432840194662
"BaseGA-{'epoch': 10, 'pop_size': 20}",1,0.8833333333333334,0.04267303193260339,0.9092592592592593,0.023055369625905014,0.8578673641173642,0.052985276268212554,0.8706125026123828,0.026042803503220403,0.815219244692929,0.07004302816204497,0.8628213495165646,0.03606085621628206,0.9249945585815151,0.02610314087964819,0.9340508912177677,0.014593528498983868
"OriginalPSO-{'epoch': 10, 'pop_size': 20}",0,0.8944444444444445,0.06358623967921995,0.9462962962962963,0.01915570450516411,0.8605339105339106,0.09136977002493162,0.9254936556179836,0.02791864036567066,0.8339617984354827,0.10293771347777034,0.9191146950820899,0.028537812392313656,0.9284878863826231,0.04304263502200077,0.9613704140118123,0.014374621802267942
"OriginalPSO-{'epoch': 10, 'pop_size': 20}",1,0.8999999999999999,0.024845199749997614,0.9092592592592593,0.021195413226406647,0.8713147963147962,0.04584442551267789,0.8835163658633931,0.02413094041938698,0.8454364585674318,0.04057656190390547,0.8625034766702288,0.02886797265079834,0.9316904332636597,0.019871364380486794,0.936452321402579,0.016976684510360614
